# Note: do not add the IPs 172.30.20.*, since the script create-unbound-zone-file.pl automatically adds them for each 172.30.7.*.
IP               hostname                 Location
------------------------------------------------------------------------------
172.30.7.3       sw-sub                   Substation
172.30.7.4       sw-mpoe                  MPOE
172.30.7.5       sw-ao-srvrm              AO Server Room
10.11.12.30      sw-ao-srvrm              AO Server Room
10.11.12.31      sw-dvgs-furnace          DVGS Furnace
10.11.12.60      sw-mpoe                  MPOE
10.11.12.61      sw-tob-west              ToB West
10.11.12.131     sw-jgh-north             JGH North
10.11.12.134     sw-dvgs-dorm-phoneroom   DVGS Dorm Phone Room
10.11.12.135     sw-tob-phone-room        TOB Phone Room
10.11.12.136     sw-tob-center            TOB Center
10.11.12.137     sw-bh-north              BH North
10.11.12.138     sw-drbu-downstairs       DRBU Downstairs
10.11.12.140     sw-dvgs-teacher-office   DVGS Teacher Office
10.11.12.141     sw-drbu-lib-down         DRBU Lib Downstairs
10.11.12.143     sw-jgh-south             JGH South
10.11.12.144     sw-dvbs-juan-office      DVBS Juan Office
10.11.12.146     sw-tob-science-lab       TOB Science Lab
10.11.12.147     sw-drbu-lib-up           DRBU Lib Upstairs
10.11.12.148     sw-dvgs-dorm-kitchen     DVGS Dorm Kitchen
10.11.12.150     sw-solarium              Solarium
10.11.12.151     sw-unicorn               Unicorn
10.11.12.152     sw-drbu-cdorm            DRBU C-Dorm
10.11.12.154     sw-tob-financial         TOB Financial
10.11.12.155     sw-dvgs-upstairs         DVGS Upstairs
10.11.12.156     sw-ao-desk               A/O Front Desk
10.11.12.157     sw-drbu-cs-lab           DRBU CS Lab
10.11.12.158     sw-ao-lan-1              A/O LAN 1
10.11.12.159     sw-bh-south              BH South
10.11.12.160     sw-dvgs-cs-lab           DVGS CS Lab
10.11.12.161     sw-1234-net-room         1234 Net Room
10.11.12.162     sw-dvgs-es-lang-lab      DVGS ES Lang Lab
10.11.12.165     sw-tob-elevator-east     TOB Elevator East
10.11.12.167     sw-ao-attic              A/O Attic
10.11.12.172     sw-1234-machine-room     1234 Machine Room
10.11.12.173     sw-ao-lan                A/O LAN
10.11.12.178     sw-ao-lan-2              A/O LAN 2
10.11.12.179     sw-dvbs-cs-lab           DVBS CS Lab
10.11.12.199     sw-solar                 Solar
10.11.12.201     sw-annex-1               Annex 1
10.11.12.202     sw-drbu-conf-room        DRBU Conf Room
10.11.12.203     sw-tob-fiber             TOB Fiber
10.11.12.204     sw-drbu-upstairs         DRBU Upstairs
10.11.12.206     sw-dvgs-es-admin-office  DVGS ES Admin Office
10.11.12.209     sw-dvbs-main-office      DVBS Main Office
10.11.12.210     sw-scroggs-office        Scroggs Office
10.11.12.211     sw-laundry-entrance      Laundry Entrance
10.11.12.212     sw-laundry-office        Laundry Office
10.11.12.222     sw-dragon-way            Dragon Way
10.11.12.225     sw-1234-translation      1234 Translation
